objectid,identifier,title,description,date,date approximate,photographer/artist,subject,location,latitude,longitude,source,language,filename,type,format,format original,digital collection,contributing institution,rights,rightsstatement,display_template,object_location,image_small,image_thumb
gemphotos0001,PG101-159_01,University of Idaho Department of Home Economics students and classes [1],"Two women, one sitting, one standing, posing in white gowns.",1953,yes,,women; social sciences; students; events; group portraits; education; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-159_01.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-159_01.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-159_01_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-159_01_th.jpg
gemphotos0002,PG101-159_02,University of Idaho Department of Home Economics students and classes [2],A man showing a labelled electrical panel to three women.,1953,yes,,women; social sciences; students; faculty (teachers); group portraits; education; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-159_02.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-159_02.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-159_02_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-159_02_th.jpg
gemphotos0003,PG101-159_03,University of Idaho Department of Home Economics students and classes [3],A group of women sitting in a lounge.,1953,yes,,women; social sciences; students; group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-159_03.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-159_03.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-159_03_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-159_03_th.jpg
gemphotos0004,PG101-159_04,University of Idaho Department of Home Economics students and classes [4],"Two women preparing food in a kitchen, both looking at a bowl of food.",1953,yes,,women; social sciences; students; culinary arts; food; group portraits; education; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-159_04.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-159_04.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-159_04_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-159_04_th.jpg
gemphotos0005,PG101-159_05,University of Idaho Department of Home Economics students and classes [5],"Margret Ritchie (left), Professor of Home Economics at University of Idaho, speaking to foreign student Gertrude Vallejos (right) next to a textile weaving loom. Fashion sewing posters cover the wall behind them.",1952,yes,,women; social sciences; students; textile materials; faculty; loom (textile tool); group portraits; education; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-159_05.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-159_05.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-159_05_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-159_05_th.jpg
gemphotos0006,PG101-159_06,University of Idaho Department of Home Economics students and classes [6],Multiple groups of women sitting down at their respective tables to dine in Home Economics class.,1953,yes,,women; social sciences; students; culinary arts; dining; food; group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-159_06.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-159_06.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-159_06_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-159_06_th.jpg
gemphotos0007,PG101-159_07,University of Idaho Department of Home Economics students and classes [7],"Margret Ritchie (left),Professor of Home Economics at University of Idaho, speaking to foreign student Gertrude Vallejos (right) next to a textile weaving loom. Fashion sewing posters cover the wall behind them.",1952,yes,,women; social sciences; students; textile materials; faculty; loom (textile tool); group portraits; education; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-159_07.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-159_07.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-159_07_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-159_07_th.jpg
gemphotos0008,PG101-159_08,University of Idaho Department of Home Economics students and classes [8],Home Economics student showing off a large floral arrangement.,1953,yes,,women; social sciences; students; portrait; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-159_08.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-159_08.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-159_08_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-159_08_th.jpg
gemphotos0009,PG101-160_01,University of Idaho Department of Home Economics students. [1],Woman helping young children into their Santa and elf costumes on the set of a play.,1953,yes,,women; social sciences; students; events; performing arts; religious holidays; group portraits; education; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_01.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_01.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_01_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_01_th.jpg
gemphotos0010,PG101-160_02,University of Idaho Department of Home Economics students. [2],"Four women in the Home Economics kitchen, preparing a meal. One is stirring a pot on the stove top, another is looking in the refrigerator, and the other two are in the background.",1953,yes,,women; social sciences; students; culinary arts; food; group portrait; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_02.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_02.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_02_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_02_th.jpg
